No.,Time,Source,Destination,Protocol,Length,Source,Destination,,,,,
8727,4.027169,3378060498,2203667416,10,1438,201.89.28.210,131.89.75.216,,,,,
8728,4.027967,2203667416,3378060498,10,82,131.89.75.216,201.89.28.210,,,,,
8729,4.028349,3643796969,2203709475,10,1438,217.47.237.233,131.89.240.35,,,,,
8730,4.029417,2203709475,3643796969,10,64,131.89.240.35,217.47.237.233,,,,,
8731,4.029782,3643796969,2203709475,10,1438,217.47.237.233,131.89.240.35,,,,,
8732,4.031119,3643796969,2203709475,10,1438,217.47.237.233,131.89.240.35,,,,,
8733,4.032168,2203709475,3643796969,10,64,131.89.240.35,217.47.237.233,,,,,
8734,4.032643,3643796969,2203709475,10,1438,217.47.237.233,131.89.240.35,,,,,
8735,4.03388,3643796969,2203709475,10,1438,217.47.237.233,131.89.240.35,,,,,
8736,4.034925,2203709475,3643796969,10,64,131.89.240.35,217.47.237.233,,,,,
8737,4.035574,3375367982,2203689291,10,1438,201.48.7.46,131.89.161.75,,,,,
8738,4.035691,3361635220,2203667416,10,70,200.94.123.148,131.89.75.216,,,,,
8739,4.036131,2203667416,3361635220,10,70,131.89.75.216,200.94.123.148,,,,,
8740,4.036429,2203689291,3375367982,10,70,131.89.161.75,201.48.7.46,,,,,
8741,4.036981,3375367982,2203689291,10,1438,201.48.7.46,131.89.161.75,,,,,
8742,4.037098,1148337643,2203678859,10,66,68.114.61.235,131.89.120.139,,,,,
8743,4.037155,3521639917,2203667408,10,404,209.231.245.237,131.89.75.208,,,,,
8744,4.037657,2203667408,3521639917,10,64,131.89.75.208,209.231.245.237,,,,,
8745,4.037756,2203689291,3375367982,10,64,131.89.161.75,201.48.7.46,,,,,
8746,4.03793,2203667408,3521639917,10,268,131.89.75.208,209.231.245.237,,,,,
8747,4.0388,805637004,2203667416,10,1438,48.5.11.140,131.89.75.216,,,,,
8748,4.039603,2203667416,805637004,10,70,131.89.75.216,48.5.11.140,,,,,
8749,4.040457,3579350585,3296060491,10,1518,213.88.142.57,196.117.228.75,,,,,
8750,4.041869,3579350585,3296060491,10,1518,213.88.142.57,196.117.228.75,,,,,
8751,4.043168,2364527394,2203667416,10,1438,140.239.211.34,131.89.75.216,,,,,
8752,4.043743,2203664901,1143903707,10,75,131.89.66.5,68.46.149.219,,,,,
8753,4.043964,2203667416,2364527394,10,70,131.89.75.216,140.239.211.34,,,,,
8754,4.044459,2364527394,2203667416,10,1438,140.239.211.34,131.89.75.216,,,,,
8755,4.044905,2203667416,1176995946,10,64,131.89.75.216,70.39.136.106,,,,,
8756,4.045251,2203667416,2364527394,10,70,131.89.75.216,140.239.211.34,,,,,
8757,4.045889,2364527394,2203667416,10,1438,140.239.211.34,131.89.75.216,,,,,
8758,4.04668,2203667416,2364527394,10,70,131.89.75.216,140.239.211.34,,,,,
8759,4.046939,2203684463,52736419,11,234,131.89.142.111,3.36.177.163,,,,,
8760,4.047362,3643421178,2203682434,10,1438,217.42.49.250,131.89.134.130,,,,,
8761,4.047478,3378054732,2203689285,10,64,201.89.6.76,131.89.161.69,,,,,
8762,4.047485,1181800924,2203697673,10,66,70.112.217.220,131.89.194.9,,,,,
8763,4.047492,3692741398,2203667416,10,78,220.26.195.22,131.89.75.216,,,,,
8764,4.0475,3521639917,2203667408,10,64,209.231.245.237,131.89.75.208,,,,,
8765,4.047937,2203667416,3692741398,10,70,131.89.75.216,220.26.195.22,,,,,
8766,4.048264,2203667408,3521639917,10,594,131.89.75.208,209.231.245.237,,,,,
8767,4.048313,2203667408,3521639917,10,594,131.89.75.208,209.231.245.237,,,,,
8768,4.048362,2203667408,3521639917,10,594,131.89.75.208,209.231.245.237,,,,,
8769,4.048648,2203689285,3378054732,10,1438,131.89.161.69,201.89.6.76,,,,,
8770,4.048768,2203689285,3378054732,10,1438,131.89.161.69,201.89.6.76,,,,,
8771,4.048885,2203689285,3378054732,10,1438,131.89.161.69,201.89.6.76,,,,,
8772,4.04904,2547382769,2203667416,10,1438,151.213.249.241,131.89.75.216,,,,,
8773,4.049156,3566114765,2203664976,10,64,212.142.151.205,131.89.66.80,,,,,
8774,4.049163,2540371957,2203667416,10,70,151.106.255.245,131.89.75.216,,,,,
8775,4.049526,2203682434,3643421178,10,64,131.89.134.130,217.42.49.250,,,,,
8776,4.049823,2203667416,2547382769,10,64,131.89.75.216,151.213.249.241,,,,,
8777,4.050287,2203664976,3566114765,10,1438,131.89.66.80,212.142.151.205,,,,,
8778,4.050768,2547382769,2203667416,10,1438,151.213.249.241,131.89.75.216,,,,,
8779,4.050884,1207432935,2203667416,10,82,71.247.246.231,131.89.75.216,,,,,
8780,4.051552,2203667416,2547382769,10,64,131.89.75.216,151.213.249.241,,,,,
8781,4.051576,2203667416,1207432935,10,70,131.89.75.216,71.247.246.231,,,,,
8782,4.052065,2547382769,2203667416,10,1438,151.213.249.241,131.89.75.216,,,,,
8783,4.052849,2203667416,2547382769,10,64,131.89.75.216,151.213.249.241,,,,,
8784,4.053403,3643796969,2203709475,10,1438,217.47.237.233,131.89.240.35,,,,,
8785,4.054464,2203709475,3643796969,10,70,131.89.240.35,217.47.237.233,,,,,
8786,4.054981,3643796969,2203709475,10,1438,217.47.237.233,131.89.240.35,,,,,
8787,4.055335,3296060531,3308263946,11,146,196.117.228.115,197.48.26.10,,,,,
8788,4.056027,2203709475,3643796969,10,70,131.89.240.35,217.47.237.233,,,,,
8789,4.056061,2203667416,1176995946,10,64,131.89.75.216,70.39.136.106,,,,,
